date,log_return,historical_simulation,parametric_normal,parametric_t,ewma,historical_simulation_dollar_mm,parametric_normal_dollar_mm,parametric_t_dollar_mm,ewma_dollar_mm,bank
2019-01-03,-0.0143137761275703,,,,0.024063268606134846,,,,26.92618523946239,JPM
2019-01-04,0.0362018784931463,,,,0.024714514808963493,,,,28.67441558371683,JPM
2019-01-07,0.0006954263675716,,,,0.031616348342820885,,,,36.70761889347816,JPM
2019-01-08,-0.0018878405161839,,,,0.03065574764933531,,,,35.52520067862959,JPM
2019-01-09,-0.0016916447232323,,,,0.02974130606808016,,,,34.40725228497753,JPM
2019-01-10,-9.946149112089596e-05,,,,0.028851369330919356,,,,33.374378748375726,JPM
2019-01-11,-0.0047932674231394,,,,0.027972497793921143,,,,32.20299900578856,JPM
2019-01-14,0.0102566568465555,,,,0.0272574979457126,,,,31.703372818534362,JPM
2019-01-15,0.0073043553719727,,,,0.027065517974698472,,,,31.710863193278843,JPM
2019-01-16,0.008032223634119,,,,0.02656895165305177,,,,31.380112049009416,JPM
2019-01-17,0.0040892085063949,,,,0.026162908908213905,,,,31.027159715428024,JPM
2019-01-18,0.0160959959090856,,,,0.025472653006010707,,,,30.698741646364272,JPM
2019-01-22,-0.0159017913869062,,,,0.026344386469284213,,,,31.248445881680098,JPM
2019-01-23,-0.002529054119807,,,,0.027101105185071955,,,,32.06483294682082,JPM
2019-01-24,0.0005844046679721,,,,0.026314976589040587,,,,31.152920840783825,JPM
2019-01-25,0.0063066478591023,,,,0.02551548900605714,,,,30.397552833091144,JPM
2019-01-28,0.0047281641015742,,,,0.024997780000283493,,,,29.921928658257116,JPM
2019-01-29,0.0027878449077462,,,,0.02438550064618507,,,,29.270528464621677,JPM
2019-01-30,0.0023010455964669,,,,0.023695915869253976,,,,28.50832609231753,JPM
2019-01-31,-0.008753438513133,,,,0.023011419478805747,,,,27.443535364681466,JPM
2019-02-01,0.0036645480089197,,,,0.022861034393202393,,,,27.3642795544087,JPM
2019-02-04,0.0035555674811616,,,,0.02226271607798872,,,,26.743020209921372,JPM
2019-02-05,-0.0044224082716552,,,,0.0216793597138895,,,,25.92734990526426,JPM
2019-02-06,-0.0004817836031854,,,,0.021169405069458445,,,,25.30527693332396,JPM
2019-02-07,-0.0131962965031272,,,,0.020526335202633632,,,,24.214905551261616,JPM
2019-02-08,-0.0100129583176936,,,,0.02127392925609365,,,,24.8468020926145,JPM
2019-02-11,-0.0047468279894231,,,,0.02140025939639296,,,,24.87598615479332,JPM
2019-02-12,0.016906205795673,,,,0.020923843300695806,,,,24.73688440914021,JPM
2019-02-13,0.0047645737564611,,,,0.022457084044987162,,,,26.676333191938213,JPM
2019-02-14,-0.0065204830995251,,,,0.021941525923296096,,,,25.8945153078319,JPM
2019-02-15,0.0301026607976259,,,,0.021595053857315583,,,,26.264471727306493,JPM
2019-02-19,-0.0035113458042738,,,,0.027065169848798264,,,,32.80198889698903,JPM
2019-02-20,0.0048371230218896,,,,0.026316808121547006,,,,32.049655836707096,JPM
2019-02-21,-0.0020838644684937,,,,0.025663499886104262,,,,31.18896972659816,JPM
2019-02-22,-0.0044662364264621,,,,0.02490999713669241,,,,30.13832842450919,JPM
2019-02-25,0.0104217584717805,,,,0.02428482434297589,,,,29.68975147445396,JPM
2019-02-26,-0.0076636095028159,,,,0.024282197724127628,,,,29.459903748876165,JPM
2019-02-27,-0.0012355928975597,,,,0.023943947980715977,,,,29.013657605709263,JPM
2019-02-28,-0.0076366030981413,,,,0.02322519052672897,,,,27.928619682281585,JPM
2019-03-01,0.0006708006834502,,,,0.0229341622889673,,,,27.59716010162224,JPM
2019-03-04,-0.002300782284971,,,,0.022238779660112326,,,,26.698892491191057,JPM
2019-03-05,-0.0007682541290338,,,,0.021601109033150087,,,,25.91341768008872,JPM
2019-03-06,-0.0037529747460039,,,,0.020947625883252417,,,,25.03534374869984,JPM
2019-03-07,-0.0072572341189208,,,,0.020421728966280087,,,,24.230338493161277,JPM
