bank,period,stated_conf,actual_violation_rate,expected_rate,excess_rate,n_violations,n_trading_days
BAC,2019Q1,0.9900000000000002,0.016666666666666666,0.010000000000000009,0.0066666666666666576,1.0,60.0
BAC,2019Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
BAC,2019Q3,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
BAC,2019Q4,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
BAC,2020Q1,0.9900000000000003,0.04838709677419355,0.010000000000000009,0.03838709677419354,3.0,62.0
BAC,2020Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
BAC,2020Q3,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
BAC,2020Q4,0.9900000000000001,0.015625,0.010000000000000009,0.005624999999999991,1.0,64.0
BAC,2021Q1,0.9900000000000002,0.0,0.010000000000000009,-0.010000000000000009,0.0,61.0
BAC,2021Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
BAC,2021Q3,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
BAC,2021Q4,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
BAC,2022Q1,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
BAC,2022Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
BAC,2022Q3,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
BAC,2022Q4,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
BAC,2023Q1,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
BAC,2023Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
BAC,2023Q3,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
BAC,2023Q4,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
BAC,2024Q1,0.9900000000000002,0.0,0.010000000000000009,-0.010000000000000009,0.0,61.0
BAC,2024Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
BAC,2024Q3,0.9900000000000001,0.015625,0.010000000000000009,0.005624999999999991,1.0,64.0
BAC,2024Q4,0.9900000000000001,0.015625,0.010000000000000009,0.005624999999999991,1.0,64.0
C,2019Q1,0.9900000000000002,0.0,0.010000000000000009,-0.010000000000000009,0.0,60.0
C,2019Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
C,2019Q3,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
C,2019Q4,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
C,2020Q1,0.9900000000000003,0.04838709677419355,0.010000000000000009,0.03838709677419354,3.0,62.0
C,2020Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
C,2020Q3,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
C,2020Q4,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
C,2021Q1,0.9900000000000002,0.0,0.010000000000000009,-0.010000000000000009,0.0,61.0
C,2021Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,63.0
C,2021Q3,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
C,2021Q4,0.9900000000000001,0.0,0.010000000000000009,-0.010000000000000009,0.0,64.0
C,2022Q1,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
C,2022Q2,0.9900000000000003,0.0,0.010000000000000009,-0.010000000000000009,0.0,62.0
