bank,excess_violation_rate,actual_violation_rate,expected_rate,cc_p_value,annual_rate_std,rank_excess,rank_cc_pvalue,rank_consistency,composite_rank
MS,0.0268721007289595,0.0768721007289595,0.05,2.442362193866743e-07,0.053014918148037535,1,2,1,1.3333333333333333
JPM,0.0136182902584492,0.0636182902584493,0.05,2.475661472190279e-09,0.04018738283877174,2,1,2,1.6666666666666667
GS,0.0129555997349237,0.0629555997349237,0.05,8.266433583885444e-05,0.03687054450743519,3,4,3,3.3333333333333335
C,0.0045791915175612,0.0145791915175613,0.01,9.639026767722716e-06,0.02131250946643054,5,3,4,4.0
BAC,0.0052418820410868,0.0152418820410868,0.01,0.1152275967485427,0.016221431919296658,4,5,5,4.666666666666667
